# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 6
# active_virtual = 0
# process  = nu_e nu_mu~ -> nu_e nu_mu~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
0.00027471207892711	2.12010424589009e-10	1.34002010471971e-13	2.12083937508578e-10	0.999653378183974
0.000290352688497812	2.36839103326306e-10	1.49695073087663e-13	2.36921225391707e-10	0.999653378183971
0.000306883789191796	2.64575484781672e-10	1.67225960474686e-13	2.64667224215573e-10	0.999653378183971
0.000324356080723615	2.95560091911885e-10	1.86809901487762e-13	2.95662575010569e-10	0.999653378183967
0.000342823149373433	3.30173326538712e-10	2.0868733057196e-13	3.30287811499743e-10	0.999653378183982
0.000362341632332353	3.68840139588697e-10	2.3312683960811e-13	3.68968031957987e-10	0.999653378183982
0.000382971391404668	4.12035248267831e-10	2.60428475446305e-13	4.1217811819569e-10	0.999653378183966
0.000404775696599775	4.60288964222922e-10	2.90927423616544e-13	4.60448565740965e-10	0.999653378183976
0.000427821420176806	5.14193704242668e-10	3.24998123447378e-13	5.14371996798309e-10	0.99965337818398
0.000452179241737117	5.7441126343127e-10	3.6305886509913e-13	5.74610435944083e-10	0.999653378183977
0.00047792386499361	6.41680940148076e-10	4.05576924964828e-13	6.41903437883429e-10	0.999653378183972
0.000505134246881729	7.16828612464212e-10	4.53074302479857e-13	7.17077167054086e-10	0.999653378183975
0.000533893839714791	8.00776877568923e-10	5.06134128773844e-13	8.01054540548506e-10	0.999653378183971
0.000564290847126313	8.94556378608449e-10	5.65407825841465e-13	8.94866558880186e-10	0.999653378183977
0.000596418494584308	9.99318458018277e-10	6.3162310413232e-13	9.99664963703415e-10	0.999653378183972
0.000630375315307193	1.11634929269548e-09	7.05592896738083e-13	1.1167363778868e-09	0.999653378183974
0.000666265452458184	1.24708568455015e-09	7.88225339875513e-13	1.24751810154003e-09	0.999653378183972
0.000704198978545002	1.39313270029873e-09	8.80534922181949e-13	1.39361575792357e-09	0.999653378183982
0.000744292233004453	1.5562833770648e-09	9.83654939726083e-13	1.55682300588233e-09	0.99965337818397
0.000786668179007239	1.73854073571594e-09	1.09885140960412e-12	1.7391435608153e-09	0.999653378183984
0.000831456780577292	1.94214237219629e-09	1.22753861301255e-12	1.94281579453518e-09	0.999653378183983
0.000878795401182222	2.1695879287666e-09	1.37129645853008e-12	2.17034021603367e-09	0.999653378183976
0.000928829225017345	2.42366978241869e-09	1.53188987885456e-12	2.42451017053695e-09	0.999653378183982
0.00098171170227532	2.70750732723014e-09	1.7112904991105e-12	2.70844613374763e-09	0.999653378183973
0.00103760501976702	3.02458527154811e-09	1.91170084271425e-12	3.02563402230754e-09	0.999653378183979
0.00109668059833698	3.37879642018081e-09	2.13558137203576e-12	3.37996799082386e-09	0.999653378183987
0.001159119618599	3.77448946683954e-09	2.38568069580219e-12	3.77579824088272e-09	0.999653378183981
0.00122511357660424	4.21652238358485e-09	2.66506931408008e-12	4.21798442900753e-09	0.999653378183991
0.00129486487114604	4.71032206274476e-09	2.97717731521971e-12	4.71195532925798e-09	0.999653378183984
0.00136858742450266	5.26195094353786e-09	3.3258364874248e-12	5.26377548295485e-09	0.999653378183985
0.00144650733852179	5.87818144138246e-09	3.71532736213397e-12	5.88021965379742e-09	0.999653378183986
0.00152886358805889	6.56657909367138e-09	4.15043176658339e-12	6.56885600246803e-09	0.999653378183995
0.00161590875389608	7.33559544280174e-09	4.63649153094778e-12	7.3381390018687e-09	0.999653378183991
0.0017079097973896	8.19467179679769e-09	5.1794740705671e-12	8.19751323372151e-09	0.999653378183993
0.00180514887922129	9.15435514140607e-09	5.78604564870598e-12	9.15752934085629e-09	0.999653378183998
0.00190792422476546	1.02264276267335e-08	6.46365321905217e-12	1.02299735587461e-08	0.999653378184002
0.00201655103872495	1.14240512181478e-08	7.22061585289668e-12	1.14280124165648e-08	0.999653378184006
0.00213136247184165	1.27619292873397e-08	8.06622687338523e-12	1.276635438428e-08	0.999653378184002
0.00225271064264621	1.42564871274204e-08	9.01086795075541e-12	1.42614304503416e-08	0.999653378184017
0.0023809677173806	1.59260736082568e-08	1.0066136559476e-11	1.59315958469407e-08	0.999653378184025
0.00251652705140564	1.77911864477967e-08	1.12449883617928e-11	1.77973553994448e-08	0.999653378184025
0.00265980439559402	1.98747238650639e-08	1.25618962659468e-11	1.98816152666521e-08	0.999653378184029
0.00281123917140874	2.22022657043986e-08	1.40330281119407e-11	2.2209964162509e-08	0.999653378184041
0.00297129581857763	2.48023874823403e-08	1.56764451660973e-11	2.48109875118874e-08	0.99965337818404
0.00314046521949706	2.77070112127462e-08	1.75123238613502e-11	2.77166183973471e-08	0.999653378184047
0.00331926620473352	3.09517973172645e-08	1.9563203505893e-11	3.09625296055024e-08	0.99965337818406
0.00350824714424014	3.45765824326988e-08	2.18542630010113e-11	3.45885715861921e-08	0.99965337818408
0.00370798762916854	3.86258684902759e-08	2.44136299656285e-11	3.86392617013323e-08	0.999653378184088
0.00391910024943379	4.3149369071305e-08	2.72727260624182e-11	4.31643307700191e-08	0.999653378184089
0.00414223247248431	4.82026197469017e-08	3.04666527654515e-11	4.82193336198821e-08	0.999653378184108
0.0043780686290386	5.38476598949877e-08	3.40346223055695e-11	5.38663311405022e-08	0.999653378184123
0.00462733201187915	6.01537943653279e-08	3.80204390834705e-11	6.01746522125464e-08	0.999653378184143
0.00489078709414007	6.71984443436462e-08	4.24730374619796e-11	6.72217448669156e-08	0.999653378184164
0.00516924187389211	7.50680978609902e-08	4.74470825392464e-11	7.50941271236909e-08	0.999653378184184
0.00546355035221541	8.38593716178611e-08	5.30036412788546e-11	8.38884491844413e-08	0.999653378184209
0.00577461515236039	9.36801971592506e-08	5.92109322366568e-11	9.37126800185583e-08	0.999653378184241
0.00610339028802922	1.04651145963401e-07	6.61451630884692e-11	1.04687432911481e-07	0.999653378184271
0.00645088408926832	1.16906909712563e-07	7.38914662411441e-11	1.16947446248723e-07	0.999653378184302
0.00681816229494515	1.30597953919216e-07	8.2544944013614e-11	1.30643237715476e-07	0.999653378184345
0.00720635132129376	1.45892365209506e-07	9.22118362206405e-11	1.4594295222058e-07	0.999653378184389
0.00761664171655363	1.6297791494324e-07	1.03010824491541e-10	1.6303442623206e-07	0.999653378184436
0.00805029181229676	1.82064364505739e-07	1.15074489340092e-10	1.82127493868317e-07	0.999653378184493
0.00850863158264141	2.03386040573876e-07	1.28550937871986e-10	2.03456563057128e-07	0.999653378184551
0.00899306672318849	2.27204711973178e-07	1.43605622114811e-10	2.27283493390264e-07	0.999653378184613
0.00950508296219043	2.53812803445479e-07	1.6042337029301e-10	2.53900811005496e-07	0.999653378184696
0.0100462506171744	2.83536985782929e-07	1.79210655988667e-10	2.83635299965463e-07	0.99965337818478
0.0106182294109949	3.16742186404885e-07	2.00198133044063e-10	3.16852014225185e-07	0.999653378184865
